,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
19,"Fri, Oct 21, 2022",7:30p,Orlando Magic,98.0,Atlanta Hawks,108.0,Box Score,,17822.0,State Farm Arena,
20,"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105.0,Brooklyn Nets,109.0,Box Score,,17732.0,Barclays Center,
21,"Fri, Oct 21, 2022",7:30p,Boston Celtics,111.0,Miami Heat,104.0,Box Score,,19600.0,FTX Arena,
22,"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106.0,New York Knicks,130.0,Box Score,,19812.0,Madison Square Garden (IV),
23,"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129.0,Houston Rockets,122.0,Box Score,,18055.0,Toyota Center,
24,"Fri, Oct 21, 2022",8:00p,Utah Jazz,132.0,Minnesota Timberwolves,126.0,Box Score,OT,17136.0,Target Center,
25,"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128.0,Golden State Warriors,123.0,Box Score,,18064.0,Chase Center,
26,"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111.0,Portland Trail Blazers,113.0,Box Score,OT,19393.0,Moda Center,
27,"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114.0,Philadelphia 76ers,105.0,Box Score,,19822.0,Wells Fargo Center,
28,"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115.0,Indiana Pacers,124.0,Box Score,,16056.0,Gainbridge Fieldhouse,
29,"Sat, Oct 22, 2022",7:00p,Boston Celtics,126.0,Orlando Magic,120.0,Box Score,,19299.0,Amway Center,
30,"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128.0,Chicago Bulls,96.0,Box Score,,21089.0,United Center,
31,"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109.0,Miami Heat,112.0,Box Score,,19600.0,FTX Arena,
32,"Sat, Oct 22, 2022",8:00p,Houston Rockets,105.0,Milwaukee Bucks,125.0,Box Score,,17341.0,Fiserv Forum,
33,"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96.0,Dallas Mavericks,137.0,Box Score,,20377.0,American Airlines Center,
34,"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117.0,Denver Nuggets,122.0,Box Score,,19983.0,Ball Arena,
35,"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111.0,Sacramento Kings,109.0,Box Score,,16296.0,Golden 1 Center,
36,"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106.0,Los Angeles Lakers,104.0,Box Score,,18997.0,Crypto.com Arena,
37,"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126.0,Atlanta Hawks,109.0,Box Score,,17383.0,State Farm Arena,
38,"Sun, Oct 23, 2022",7:00p,Washington Wizards,107.0,Cleveland Cavaliers,117.0,Box Score,OT,19432.0,Rocket Mortgage Fieldhouse,
39,"Sun, Oct 23, 2022",7:00p,Utah Jazz,122.0,New Orleans Pelicans,121.0,Box Score,OT,18665.0,Smoothie King Center,
40,"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116.0,Oklahoma City Thunder,106.0,Box Score,,15044.0,Paycom Center,
41,"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125.0,Golden State Warriors,130.0,Box Score,,18064.0,Chase Center,
42,"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112.0,Los Angeles Clippers,95.0,Box Score,,19068.0,Crypto.com Arena,
43,"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106.0,Philadelphia 76ers,120.0,Box Score,,19786.0,Wells Fargo Center,
44,"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98.0,Miami Heat,90.0,Box Score,,19600.0,FTX Arena,
45,"Mon, Oct 24, 2022",7:30p,Orlando Magic,102.0,New York Knicks,115.0,Box Score,,18800.0,Madison Square Garden (IV),
46,"Mon, Oct 24, 2022",8:00p,Boston Celtics,102.0,Chicago Bulls,120.0,Box Score,,17673.0,United Center,
47,"Mon, Oct 24, 2022",8:00p,Utah Jazz,108.0,Houston Rockets,114.0,Box Score,,16260.0,Toyota Center,
48,"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124.0,Memphis Grizzlies,134.0,Box Score,,17392.0,FedEx Forum,
49,"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115.0,Minnesota Timberwolves,106.0,Box Score,,15347.0,Target Center,
50,"Mon, Oct 24, 2022",10:00p,Denver Nuggets,110.0,Portland Trail Blazers,135.0,Box Score,,18111.0,Moda Center,
51,"Tue, Oct 25, 2022",7:00p,Detroit Pistons,99.0,Washington Wizards,120.0,Box Score,,13196.0,Capital One Arena,
52,"Tue, Oct 25, 2022",7:30p,Dallas Mavericks,111.0,New Orleans Pelicans,113.0,Box Score,,14020.0,Smoothie King Center,
53,"Tue, Oct 25, 2022",8:00p,Los Angeles Clippers,94.0,Oklahoma City Thunder,108.0,Box Score,,13105.0,Paycom Center,
54,"Tue, Oct 25, 2022",10:00p,Golden State Warriors,105.0,Phoenix Suns,134.0,Box Score,,17071.0,Footprint Center,
55,"Wed, Oct 26, 2022",7:00p,Orlando Magic,92.0,Cleveland Cavaliers,103.0,Box Score,,0.0,Rocket Mortgage Fieldhouse,
56,"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118.0,Detroit Pistons,113.0,Box Score,,17987.0,Little Caesars Arena,
57,"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99.0,Milwaukee Bucks,110.0,Box Score,,17341.0,Fiserv Forum,
58,"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131.0,New York Knicks,134.0,Box Score,OT,19812.0,Madison Square Garden (IV),
59,"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109.0,Toronto Raptors,119.0,Box Score,,19800.0,Scotiabank Arena,
60,"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109.0,Chicago Bulls,124.0,Box Score,,18306.0,United Center,
61,"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122.0,Minnesota Timberwolves,134.0,Box Score,,16165.0,Target Center,
62,"Wed, Oct 26, 2022",9:00p,Houston Rockets,101.0,Utah Jazz,109.0,Box Score,,18206.0,Vivint Arena,
63,"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99.0,Denver Nuggets,110.0,Box Score,,19520.0,Ball Arena,
64,"Wed, Oct 26, 2022",10:00p,Miami Heat,119.0,Portland Trail Blazers,98.0,Box Score,,18588.0,Moda Center,
65,"Thu, Oct 27, 2022",7:30p,Dallas Mavericks,129.0,Brooklyn Nets,125.0,Box Score,OT,18039.0,Barclays Center,
66,"Thu, Oct 27, 2022",8:00p,Los Angeles Clippers,110.0,Oklahoma City Thunder,118.0,Box Score,,14510.0,Paycom Center,
67,"Thu, Oct 27, 2022",10:00p,Miami Heat,110.0,Golden State Warriors,123.0,Box Score,,18064.0,Chase Center,
68,"Thu, Oct 27, 2022",10:00p,Memphis Grizzlies,125.0,Sacramento Kings,110.0,Box Score,,15511.0,Golden 1 Center,
69,"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136.0,Detroit Pistons,112.0,Box Score,,18923.0,Little Caesars Arena,
70,"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93.0,Orlando Magic,113.0,Box Score,,18846.0,Amway Center,
71,"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132.0,Boston Celtics,123.0,Box Score,OT,19156.0,TD Garden,
72,"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112.0,Toronto Raptors,90.0,Box Score,,19800.0,Scotiabank Arena,
73,"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127.0,Washington Wizards,117.0,Box Score,,13463.0,Capital One Arena,
74,"Fri, Oct 28, 2022",8:00p,New York Knicks,108.0,Milwaukee Bucks,119.0,Box Score,,17341.0,Fiserv Forum,
75,"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102.0,Minnesota Timberwolves,111.0,Box Score,,17136.0,Target Center,
76,"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124.0,San Antonio Spurs,129.0,Box Score,,16562.0,AT&T Center,
77,"Fri, Oct 28, 2022",9:00p,Utah Jazz,101.0,Denver Nuggets,117.0,Box Score,,19560.0,Ball Arena,
78,"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111.0,Phoenix Suns,124.0,Box Score,,17071.0,Footprint Center,
79,"Fri, Oct 28, 2022",10:00p,Houston Rockets,111.0,Portland Trail Blazers,125.0,Box Score,,19082.0,Moda Center,
80,"Sat, Oct 29, 2022",6:00p,Miami Heat,113.0,Sacramento Kings,119.0,Box Score,,14618.0,Golden 1 Center,
81,"Sat, Oct 29, 2022",7:00p,Golden State Warriors,113.0,Charlotte Hornets,120.0,Box Score,OT,19079.0,Spectrum Center,
82,"Sat, Oct 29, 2022",7:30p,Indiana Pacers,125.0,Brooklyn Nets,116.0,Box Score,,17732.0,Barclays Center,
83,"Sat, Oct 29, 2022",8:00p,Philadelphia 76ers,114.0,Chicago Bulls,109.0,Box Score,,19010.0,United Center,
84,"Sat, Oct 29, 2022",8:00p,Atlanta Hawks,115.0,Milwaukee Bucks,123.0,Box Score,,17341.0,Fiserv Forum,
85,"Sat, Oct 29, 2022",9:00p,Oklahoma City Thunder,117.0,Dallas Mavericks,111.0,Box Score,OT,20307.0,American Airlines Center,
86,"Sat, Oct 29, 2022",9:00p,Memphis Grizzlies,123.0,Utah Jazz,124.0,Box Score,,18206.0,Vivint Arena,
87,"Sun, Oct 30, 2022",3:00p,New Orleans Pelicans,112.0,Los Angeles Clippers,91.0,Box Score,,18142.0,Crypto.com Arena,
88,"Sun, Oct 30, 2022",6:00p,Washington Wizards,94.0,Boston Celtics,112.0,Box Score,,19156.0,TD Garden,
89,"Sun, Oct 30, 2022",6:00p,New York Knicks,108.0,Cleveland Cavaliers,121.0,Box Score,,19432.0,Rocket Mortgage Fieldhouse,
90,"Sun, Oct 30, 2022",6:00p,Golden State Warriors,114.0,Detroit Pistons,128.0,Box Score,,20190.0,Little Caesars Arena,
91,"Sun, Oct 30, 2022",7:00p,Minnesota Timberwolves,98.0,San Antonio Spurs,107.0,Box Score,,15053.0,AT&T Center,
92,"Sun, Oct 30, 2022",7:30p,Orlando Magic,105.0,Dallas Mavericks,114.0,Box Score,,20042.0,American Airlines Center,
93,"Sun, Oct 30, 2022",9:00p,Houston Rockets,109.0,Phoenix Suns,124.0,Box Score,,17071.0,Footprint Center,
94,"Sun, Oct 30, 2022",9:30p,Denver Nuggets,110.0,Los Angeles Lakers,121.0,Box Score,,18997.0,Crypto.com Arena,
95,"Mon, Oct 31, 2022",7:00p,Sacramento Kings,115.0,Charlotte Hornets,108.0,Box Score,,12020.0,Spectrum Center,
96,"Mon, Oct 31, 2022",7:00p,Philadelphia 76ers,118.0,Washington Wizards,111.0,Box Score,,13746.0,Capital One Arena,
97,"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109.0,Brooklyn Nets,116.0,Box Score,,15770.0,Barclays Center,
98,"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109.0,Toronto Raptors,139.0,Box Score,,19800.0,Scotiabank Arena,
99,"Mon, Oct 31, 2022",8:00p,Detroit Pistons,108.0,Milwaukee Bucks,110.0,Box Score,,17341.0,Fiserv Forum,
100,"Mon, Oct 31, 2022",9:00p,Memphis Grizzlies,105.0,Utah Jazz,121.0,Box Score,,18206.0,Vivint Arena,
101,"Mon, Oct 31, 2022",10:30p,Houston Rockets,93.0,Los Angeles Clippers,95.0,Box Score,,14887.0,Crypto.com Arena,
0,"Tue, Nov 1, 2022",7:30p,Chicago Bulls,108.0,Brooklyn Nets,99.0,Box Score,,17732.0,Barclays Center,
1,"Tue, Nov 1, 2022",7:30p,Golden State Warriors,109.0,Miami Heat,116.0,Box Score,,19600.0,FTX Arena,
2,"Tue, Nov 1, 2022",8:00p,Orlando Magic,108.0,Oklahoma City Thunder,116.0,Box Score,,13109.0,Paycom Center,
3,"Tue, Nov 1, 2022",10:00p,Minnesota Timberwolves,107.0,Phoenix Suns,116.0,Box Score,,17071.0,Footprint Center,
4,"Wed, Nov 2, 2022",6:00p,Washington Wizards,121.0,Philadelphia 76ers,111.0,Box Score,,19855.0,Wells Fargo Center,
5,"Wed, Nov 2, 2022",7:30p,Boston Celtics,113.0,Cleveland Cavaliers,114.0,Box Score,OT,19432.0,Rocket Mortgage Fieldhouse,
6,"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107.0,Miami Heat,110.0,Box Score,,19600.0,FTX Arena,
7,"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112.0,New York Knicks,99.0,Box Score,,19812.0,Madison Square Garden (IV),
8,"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88.0,Chicago Bulls,106.0,Box Score,,17886.0,United Center,
9,"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109.0,Houston Rockets,101.0,Box Score,,15860.0,Toyota Center,
10,"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91.0,Milwaukee Bucks,116.0,Box Score,,17341.0,Fiserv Forum,
11,"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143.0,San Antonio Spurs,100.0,Box Score,,12155.0,AT&T Center,
12,"Wed, Nov 2, 2022",8:30p,Utah Jazz,100.0,Dallas Mavericks,103.0,Box Score,,19877.0,American Airlines Center,
13,"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111.0,Portland Trail Blazers,106.0,Box Score,,19462.0,Moda Center,
14,"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117.0,Los Angeles Lakers,120.0,Box Score,OT,18997.0,Crypto.com Arena,
15,"Thu, Nov 3, 2022",7:00p,Golden State Warriors,129.0,Orlando Magic,130.0,Box Score,,18846.0,Amway Center,
16,"Thu, Nov 3, 2022",8:00p,Denver Nuggets,122.0,Oklahoma City Thunder,110.0,Box Score,,13791.0,Paycom Center,
17,"Fri, Nov 4, 2022",7:00p,Cleveland Cavaliers,112.0,Detroit Pistons,88.0,Box Score,,18744.0,Little Caesars Arena,
18,"Fri, Nov 4, 2022",7:00p,Miami Heat,99.0,Indiana Pacers,101.0,Box Score,,13141.0,Gainbridge Fieldhouse,
19,"Fri, Nov 4, 2022",7:00p,New York Knicks,106.0,Philadelphia 76ers,104.0,Box Score,,20679.0,Wells Fargo Center,
20,"Fri, Nov 4, 2022",7:00p,Brooklyn Nets,128.0,Washington Wizards,86.0,Box Score,,17258.0,Capital One Arena,
21,"Fri, Nov 4, 2022",7:30p,Chicago Bulls,119.0,Boston Celtics,123.0,Box Score,,19156.0,TD Garden,
22,"Fri, Nov 4, 2022",8:00p,Charlotte Hornets,99.0,Memphis Grizzlies,130.0,Box Score,,17187.0,FedEx Forum,
23,"Fri, Nov 4, 2022",8:00p,Los Angeles Clippers,113.0,San Antonio Spurs,106.0,Box Score,,12603.0,AT&T Center,
24,"Fri, Nov 4, 2022",8:30p,Toronto Raptors,110.0,Dallas Mavericks,111.0,Box Score,,20177.0,American Airlines Center,
25,"Fri, Nov 4, 2022",8:30p,Golden State Warriors,105.0,New Orleans Pelicans,114.0,Box Score,,18451.0,Smoothie King Center,
26,"Fri, Nov 4, 2022",10:00p,Milwaukee Bucks,115.0,Minnesota Timberwolves,102.0,Box Score,,17136.0,Target Center,
27,"Fri, Nov 4, 2022",10:00p,Portland Trail Blazers,108.0,Phoenix Suns,106.0,Box Score,,17071.0,Footprint Center,
28,"Fri, Nov 4, 2022",10:30p,Utah Jazz,130.0,Los Angeles Lakers,116.0,Box Score,,18997.0,Crypto.com Arena,
29,"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126.0,Orlando Magic,123.0,Box Score,OT,18846.0,Amway Center,
30,"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98.0,Charlotte Hornets,94.0,Box Score,,19398.0,Spectrum Center,
31,"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121.0,Atlanta Hawks,124.0,Box Score,OT,17654.0,State Farm Arena,
32,"Sat, Nov 5, 2022",7:30p,Boston Celtics,133.0,New York Knicks,118.0,Box Score,,19812.0,Madison Square Garden (IV),
33,"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94.0,Milwaukee Bucks,108.0,Box Score,,17713.0,Fiserv Forum,
34,"Sat, Nov 5, 2022",8:00p,Houston Rockets,117.0,Minnesota Timberwolves,129.0,Box Score,,16412.0,Target Center,
35,"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101.0,Denver Nuggets,126.0,Box Score,,19641.0,Ball Arena,
36,"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82.0,Phoenix Suns,102.0,Box Score,,17071.0,Footprint Center,
37,"Sun, Nov 6, 2022",3:30p,Cleveland Cavaliers,114.0,Los Angeles Lakers,100.0,Box Score,,18997.0,Crypto.com Arena,
38,"Sun, Nov 6, 2022",6:00p,Washington Wizards,97.0,Memphis Grizzlies,103.0,Box Score,,16877.0,FedEx Forum,
39,"Sun, Nov 6, 2022",6:00p,Chicago Bulls,104.0,Toronto Raptors,113.0,Box Score,,19800.0,Scotiabank Arena,
40,"Sun, Nov 6, 2022",10:00p,Utah Jazz,110.0,Los Angeles Clippers,102.0,Box Score,,16111.0,Crypto.com Arena,
41,"Mon, Nov 7, 2022",7:00p,Washington Wizards,108.0,Charlotte Hornets,100.0,Box Score,,13712.0,Spectrum Center,
42,"Mon, Nov 7, 2022",7:15p,Houston Rockets,134.0,Orlando Magic,127.0,Box Score,,15441.0,Amway Center,
43,"Mon, Nov 7, 2022",7:30p,Oklahoma City Thunder,103.0,Detroit Pistons,112.0,Box Score,,16223.0,Little Caesars Arena,
44,"Mon, Nov 7, 2022",7:45p,New Orleans Pelicans,122.0,Indiana Pacers,129.0,Box Score,,14052.0,Gainbridge Fieldhouse,
45,"Mon, Nov 7, 2022",8:00p,Phoenix Suns,88.0,Philadelphia 76ers,100.0,Box Score,,20347.0,Wells Fargo Center,
46,"Mon, Nov 7, 2022",8:15p,Milwaukee Bucks,98.0,Atlanta Hawks,117.0,Box Score,,17494.0,State Farm Arena,
47,"Mon, Nov 7, 2022",8:30p,Portland Trail Blazers,110.0,Miami Heat,107.0,Box Score,,19600.0,FTX Arena,
48,"Mon, Nov 7, 2022",8:45p,Toronto Raptors,97.0,Chicago Bulls,111.0,Box Score,,21142.0,United Center,
49,"Mon, Nov 7, 2022",9:00p,Boston Celtics,109.0,Memphis Grizzlies,106.0,Box Score,,17371.0,FedEx Forum,
50,"Mon, Nov 7, 2022",9:15p,New York Knicks,120.0,Minnesota Timberwolves,107.0,Box Score,,14524.0,Target Center,
51,"Mon, Nov 7, 2022",9:30p,Denver Nuggets,115.0,San Antonio Spurs,109.0,Box Score,,11574.0,AT&T Center,
52,"Mon, Nov 7, 2022",9:45p,Brooklyn Nets,94.0,Dallas Mavericks,96.0,Box Score,,20011.0,American Airlines Center,
53,"Mon, Nov 7, 2022",10:00p,Sacramento Kings,113.0,Golden State Warriors,116.0,Box Score,,18064.0,Chase Center,
54,"Mon, Nov 7, 2022",10:15p,Los Angeles Lakers,116.0,Utah Jazz,139.0,Box Score,,18206.0,Vivint Arena,
55,"Mon, Nov 7, 2022",10:30p,Cleveland Cavaliers,117.0,Los Angeles Clippers,119.0,Box Score,,16516.0,Crypto.com Arena,
56,"Wed, Nov 9, 2022",5:30p,Dallas Mavericks,87.0,Orlando Magic,94.0,Box Score,,18165.0,Amway Center,
57,"Wed, Nov 9, 2022",7:00p,Portland Trail Blazers,105.0,Charlotte Hornets,95.0,Box Score,,14774.0,Spectrum Center,
58,"Wed, Nov 9, 2022",7:00p,Denver Nuggets,122.0,Indiana Pacers,119.0,Box Score,,14069.0,Gainbridge Fieldhouse,
59,"Wed, Nov 9, 2022",7:30p,Utah Jazz,125.0,Atlanta Hawks,119.0,Box Score,,15845.0,State Farm Arena,
60,"Wed, Nov 9, 2022",7:30p,Detroit Pistons,112.0,Boston Celtics,128.0,Box Score,,19156.0,TD Garden,
61,"Wed, Nov 9, 2022",7:30p,New York Knicks,85.0,Brooklyn Nets,112.0,Box Score,,18156.0,Barclays Center,
62,"Wed, Nov 9, 2022",7:30p,Houston Rockets,109.0,Toronto Raptors,116.0,Box Score,,19800.0,Scotiabank Arena,
63,"Wed, Nov 9, 2022",8:00p,New Orleans Pelicans,115.0,Chicago Bulls,111.0,Box Score,,19621.0,United Center,
64,"Wed, Nov 9, 2022",8:00p,Phoenix Suns,129.0,Minnesota Timberwolves,117.0,Box Score,,16062.0,Target Center,
65,"Wed, Nov 9, 2022",8:00p,Milwaukee Bucks,136.0,Oklahoma City Thunder,132.0,Box Score,2OT,15180.0,Paycom Center,
66,"Wed, Nov 9, 2022",8:00p,Memphis Grizzlies,124.0,San Antonio Spurs,122.0,Box Score,OT,13507.0,AT&T Center,
67,"Wed, Nov 9, 2022",10:00p,Los Angeles Lakers,101.0,Los Angeles Clippers,114.0,Box Score,,19068.0,Crypto.com Arena,
68,"Wed, Nov 9, 2022",10:00p,Cleveland Cavaliers,120.0,Sacramento Kings,127.0,Box Score,,13816.0,Golden 1 Center,
69,"Thu, Nov 10, 2022",7:00p,Dallas Mavericks,105.0,Washington Wizards,113.0,Box Score,,18320.0,Capital One Arena,
70,"Thu, Nov 10, 2022",7:30p,Philadelphia 76ers,95.0,Atlanta Hawks,104.0,Box Score,,16066.0,State Farm Arena,
71,"Thu, Nov 10, 2022",7:30p,Charlotte Hornets,112.0,Miami Heat,117.0,Box Score,OT,19600.0,FTX Arena,
72,"Thu, Nov 10, 2022",8:00p,Portland Trail Blazers,106.0,New Orleans Pelicans,95.0,Box Score,,14289.0,Smoothie King Center,
73,"Fri, Nov 11, 2022",7:00p,Denver Nuggets,112.0,Boston Celtics,131.0,Box Score,,19156.0,TD Garden,
74,"Fri, Nov 11, 2022",7:00p,Phoenix Suns,97.0,Orlando Magic,114.0,Box Score,,15879.0,Amway Center,
75,"Fri, Nov 11, 2022",7:30p,Detroit Pistons,112.0,New York Knicks,121.0,Box Score,,19812.0,Madison Square Garden (IV),
76,"Fri, Nov 11, 2022",8:00p,Toronto Raptors,113.0,Oklahoma City Thunder,132.0,Box Score,,16104.0,Paycom Center,
77,"Fri, Nov 11, 2022",8:00p,Milwaukee Bucks,93.0,San Antonio Spurs,111.0,Box Score,,15642.0,AT&T Center,
78,"Fri, Nov 11, 2022",9:30p,Minnesota Timberwolves,103.0,Memphis Grizzlies,114.0,Box Score,,16939.0,FedEx Forum,
79,"Fri, Nov 11, 2022",10:00p,Cleveland Cavaliers,101.0,Golden State Warriors,106.0,Box Score,,18064.0,Chase Center,
80,"Fri, Nov 11, 2022",10:30p,Sacramento Kings,120.0,Los Angeles Lakers,114.0,Box Score,,17849.0,Crypto.com Arena,
81,"Sat, Nov 12, 2022",4:00p,Brooklyn Nets,110.0,Los Angeles Clippers,95.0,Box Score,,17777.0,Crypto.com Arena,
82,"Sat, Nov 12, 2022",6:00p,Utah Jazz,112.0,Washington Wizards,121.0,Box Score,,13673.0,Capital One Arena,
83,"Sat, Nov 12, 2022",7:00p,Boston Celtics,117.0,Detroit Pistons,108.0,Box Score,,20190.0,Little Caesars Arena,
84,"Sat, Nov 12, 2022",7:00p,Toronto Raptors,104.0,Indiana Pacers,118.0,Box Score,,13089.0,Gainbridge Fieldhouse,
85,"Sat, Nov 12, 2022",7:30p,Atlanta Hawks,109.0,Philadelphia 76ers,121.0,Box Score,,20245.0,Wells Fargo Center,
86,"Sat, Nov 12, 2022",8:00p,Charlotte Hornets,115.0,Miami Heat,132.0,Box Score,,19600.0,FTX Arena,
87,"Sat, Nov 12, 2022",8:30p,Portland Trail Blazers,112.0,Dallas Mavericks,117.0,Box Score,,20277.0,American Airlines Center,
88,"Sat, Nov 12, 2022",8:30p,Houston Rockets,106.0,New Orleans Pelicans,119.0,Box Score,,15367.0,Smoothie King Center,
89,"Sun, Nov 13, 2022",12:00p,Oklahoma City Thunder,145.0,New York Knicks,135.0,Box Score,,18325.0,Madison Square Garden (IV),
90,"Sun, Nov 13, 2022",6:00p,Minnesota Timberwolves,129.0,Cleveland Cavaliers,124.0,Box Score,,19432.0,Rocket Mortgage Fieldhouse,
91,"Sun, Nov 13, 2022",6:00p,Memphis Grizzlies,92.0,Washington Wizards,102.0,Box Score,,17667.0,Capital One Arena,
92,"Sun, Nov 13, 2022",7:30p,Utah Jazz,98.0,Philadelphia 76ers,105.0,Box Score,,19761.0,Wells Fargo Center,
93,"Sun, Nov 13, 2022",8:00p,Denver Nuggets,126.0,Chicago Bulls,103.0,Box Score,,21602.0,United Center,
94,"Sun, Nov 13, 2022",9:00p,Golden State Warriors,115.0,Sacramento Kings,122.0,Box Score,,16410.0,Golden 1 Center,
95,"Sun, Nov 13, 2022",9:30p,Brooklyn Nets,103.0,Los Angeles Lakers,116.0,Box Score,,18040.0,Crypto.com Arena,
